School_ID,County_Name,School_Name,School_Lat,School_Long,Store_Name,Store_Lat,Store_Long,Store_Address,Store_PlaceID
1052,Clayton County, East Clayton Elementary School,33.616623,-84.27010020000002,ALDI,33.55104550000001,-84.2550409,"5420 North Henry Boulevard, Stockbridge",ChIJ0zKb7T1W9IgR1wzlIeh8LC0
1052,Clayton County, East Clayton Elementary School,33.616623,-84.27010020000002,ALDI,33.6814879,-84.2280176,"4900 Flat Shoals Parkway, Decatur",ChIJB_5hgCCr9YgRkD2cQGvirH8
1052,Clayton County, East Clayton Elementary School,33.616623,-84.27010020000002,Publix Super Market at Mt. Zion,33.5616957,-84.3251349,"2035 Mount Zion Road, Morrow",ChIJAYU2wP379IgRV6JG0RTvF-I
1052,Clayton County, East Clayton Elementary School,33.616623,-84.27010020000002,Publix Super Market at Stockbridge Lakes,33.55506739999999,-84.2324064,"250 East Atlanta Road, Stockbridge",ChIJd1hQSGFW9IgRLD-0eqjpcbA
1052,Clayton County, East Clayton Elementary School,30.8591548,-83.2633123,Publix Super Market at Baytree Village,30.8456768,-83.32284399999999,"1741 Gornto Road, Valdosta",ChIJ35WNwJBm7ogRdT82kQmDWH4
1052,Clayton County, East Clayton Elementary School,30.8591548,-83.2633123,Family Dollar,30.8367512,-83.317776,"964 Saint Augustine Road, Valdosta",ChIJc4T_1L9m7ogRI7Ht7rcBbC4
1052,Clayton County, East Clayton Elementary School,30.8591548,-83.2633123,Family Dollar,30.8561498,-83.2802432,"1905 North Ashley Street, Valdosta",ChIJyQ6q_whn7ogRlOmWjkS-eQk
1052,Clayton County, East Clayton Elementary School,30.8591548,-83.2633123,Publix Super Market at Baytree Village,30.8456768,-83.32284399999999,"1741 Gornto Road, Valdosta",ChIJ35WNwJBm7ogRdT82kQmDWH4
1052,Clayton County, East Clayton Elementary School,30.8591548,-83.2633123,Family Dollar,30.8367512,-83.317776,"964 Saint Augustine Road, Valdosta",ChIJc4T_1L9m7ogRI7Ht7rcBbC4
1052,Clayton County, East Clayton Elementary School,30.8591548,-83.2633123,Family Dollar,30.8561498,-83.2802432,"1905 North Ashley Street, Valdosta",ChIJyQ6q_whn7ogRlOmWjkS-eQk
116,Clayton County, Eddie White Middle School,33.4301772,-84.36014039999999,ALDI,33.4418943,-84.322878,"11499 Tara Boulevard, Lovejoy",ChIJX7zpyuL29IgRptD3eaYlZ14
116,Clayton County, Eddie White Middle School,33.4301772,-84.36014039999999,ALDI,33.4725516,-84.444543,"1060 Highway 85 North, Fayetteville",ChIJWRZMROfv9IgRIua9mO_7RFA
116,Clayton County, Eddie White Middle School,33.4301772,-84.36014039999999,Food Depot,33.449701,-84.3273957,"11155 Tara Boulevard, Hampton",ChIJ-fUh5Rv39IgRXFxSmVpMkkw
5052,Clayton County, Edmonds Elementary School,33.6334786,-84.3494089,H Mart Riverdale,33.5828934,-84.41264340000001,"6335 Georgia 85, Riverdale",ChIJTfOT55389IgRMdwExIWG6Ho
5052,Clayton County, Edmonds Elementary School,33.6334786,-84.3494089,Kroger,33.68236810000001,-84.4093793,"2685 Metropolitan Parkway Southwest, Atlanta",ChIJ98UKmpAC9YgRx_FrB4QSp7o
5052,Clayton County, Edmonds Elementary School,33.6334786,-84.3494089,ALDI,33.7137226,-84.35020159999999,"1461 Moreland Avenue Southeast, Atlanta",ChIJNYyG134B9YgRUJOqTz5seeQ
5052,Clayton County, Edmonds Elementary School,33.6334786,-84.3494089,Publix Super Market at Mt. Zion,33.5616957,-84.3251349,"2035 Mount Zion Road, Morrow",ChIJAYU2wP379IgRV6JG0RTvF-I
