County_ID,County_Name,School_ID,School_Name,Percent_FRL,Address,City,State,ZipCode,Latitude,Longitude
792,Lowndes County,101, Sallas Mahone Elementary,94.66,3686 Lake Laurie Dr,Valdosta,GA,31605,30.898887,-83.2839632
792,Lowndes County,101, Sallas Mahone Elementary,94.66,3686 Lake Laurie Dr,Valdosta,GA,31605,30.898887,-83.2839632
792,Lowndes County,273, Valdosta High School,94.68,4590 Inner Perimeter Rd,Valdosta,GA,31601,30.869131,-83.2345823
792,Lowndes County,103, Valdosta Middle School,94.66,110 Burton St,Valdosta,GA,31602,33.5368158,-84.3932159
792,Lowndes County,103, Valdosta Middle School,94.66,110 Burton St,Valdosta,GA,31602,33.5368158,-84.3932159
792,Lowndes County,103, Valdosta Middle School,94.66,110 Burton St,Valdosta,GA,31602,30.8675518,-83.2909011
792,Lowndes County,103, Valdosta Middle School,94.66,110 Burton St,Valdosta,GA,31602,30.8675518,-83.2909011
792,Lowndes County,1052, W.G. Nunn Elementary,94.68,1610 Lakeland Ave,Valdosta,GA,31602,33.616623,-84.27010020000002
792,Lowndes County,1052, W.G. Nunn Elementary,94.68,1610 Lakeland Ave,Valdosta,GA,31602,33.616623,-84.27010020000002
792,Lowndes County,1052, W.G. Nunn Elementary,94.68,1610 Lakeland Ave,Valdosta,GA,31602,30.8591548,-83.2633123
792,Lowndes County,1052, W.G. Nunn Elementary,94.68,1610 Lakeland Ave,Valdosta,GA,31602,30.8591548,-83.2633123
757,Wilkes County,205,Washington-Wilkes Elementary School,94.09,109 East St,Washington,GA,30673,33.4538513,-84.35708029999999
757,Wilkes County,205,Washington-Wilkes Elementary School,94.09,109 East St,Washington,GA,30673,33.4538513,-84.35708029999999
757,Wilkes County,205,Washington-Wilkes Elementary School,94.09,109 East St,Washington,GA,30673,33.7345834,-82.7251885
757,Wilkes County,205,Washington-Wilkes Elementary School,94.09,109 East St,Washington,GA,30673,33.7345834,-82.7251885
757,Wilkes County,105,Washington-Wilkes Primary School,94.16,910 E Robert Toombs Ave,Washington,GA,30673,33.5937354,-84.31812769999999
757,Wilkes County,105,Washington-Wilkes Primary School,94.16,910 E Robert Toombs Ave,Washington,GA,30673,33.5937354,-84.31812769999999
757,Wilkes County,105,Washington-Wilkes Primary School,94.16,910 E Robert Toombs Ave,Washington,GA,30673,33.7288772,-82.720109
757,Wilkes County,105,Washington-Wilkes Primary School,94.16,910 E Robert Toombs Ave,Washington,GA,30673,33.7288772,-82.720109
757,Wilkes County,210,Washington-Wilkes Middle School,94.22,1180 Tignall Rd,Washington,GA,30673,33.7601446,-82.7324977
757,Wilkes County,110,Washington-Wilkes Comprehensive High School,94.18,1180 Tignall Rd,Washington,GA,30673,33.7601446,-82.7324977
